timestamp,x,y,z
3703352,-0.5527618,9.581204,2.132081
3703361,-0.53840435,9.509417,2.1919038
3703371,-0.5240469,9.483095,2.1990826
3703380,-0.6532639,9.507024,2.4862316
3703390,-0.7489802,9.715207,1.9502201
3703399,-0.6532639,9.607526,1.8880045
3703408,-0.5049036,9.624276,2.0196145
3703417,-0.5240469,9.832459,2.0507221
3703426,-0.36611494,9.28209,2.316335
3703436,-0.3326142,9.509417,1.8305746
3703445,-0.46183127,9.650599,1.8066456
3703454,-0.571905,9.380199,2.0914016
3703464,-0.67001426,9.459166,2.268477
3703473,-0.61497736,9.566847,2.2852273
3703484,-0.5934412,9.708028,2.1296883
3703493,-0.6173703,9.672134,2.1177237
3703503,-0.5431901,9.614705,2.187118
3703512,-0.5336185,9.566847,2.1488314
3703522,-0.43072346,9.554882,2.215833
3703531,-0.55754757,9.710421,2.2086542
3703541,-0.5336185,9.56206,2.165582
3703550,-0.5168682,9.52856,2.2014754
3703559,-0.55754757,9.664956,2.0267932
3703568,-0.5551547,9.631455,1.9837208
3703577,-0.5886554,9.538132,2.1799393
3703587,-0.49293905,9.60274,2.0961876
3703596,-0.4785816,9.5907755,2.010043
3703605,-0.53840435,9.574025,2.0626867
3703615,-0.5934412,9.633848,2.112938
3703624,-0.54797596,9.552489,2.0866158
3703634,-0.5814767,9.6003475,2.1942968
3703643,-0.5264398,9.6912775,2.1033661
3703652,-0.48576033,9.504631,2.1177237
3703662,-0.51208234,9.463951,2.1942968
3703671,-0.5049036,9.5405245,2.2301903
3703680,-0.5623334,9.669742,2.108152
3703690,-0.55754757,9.679314,1.978935
3703699,-0.55036885,9.58599,2.0483294
3703709,-0.6197632,9.576418,2.237369
3703718,-0.61497736,9.6003475,2.132081
3703727,-0.6197632,9.557275,2.2086542
3703737,-0.63172776,9.516596,2.2110472
3703746,-0.53840435,9.521381,2.1009734
3703755,-0.5288327,9.516596,2.0555081
3703765,-0.5814767,9.564454,2.084223
3703774,-0.58626246,9.554882,2.0866158
3703785,-0.6006199,9.533346,2.1249025
3703794,-0.61497736,9.645813,2.1464386
3703804,-0.64129937,9.657777,2.21344
3703813,-0.5647263,9.688885,2.2086542
3703823,-0.5695121,9.7176,2.163189
3703832,-0.5144752,9.643419,2.1775463
3703842,-0.47618872,9.607526,2.108152
3703851,-0.5886554,9.5907755,2.3833365
3703860,-0.6652284,9.533346,1.8521109
3703869,-0.66283554,9.459166,1.823396
3703878,-0.5312256,9.43045,1.9454343
3703888,-0.6843717,9.56206,1.9885067
3703897,-0.64129937,9.215089,2.395301
3703906,-0.5623334,9.480701,2.268477
3703916,-0.48097453,9.803744,2.0650797
3703925,-0.5049036,9.588383,2.1488314
3703935,-0.54797596,9.542917,2.2277975
3703944,-0.5049036,9.763065,2.1799393
